profile_id,phone,FullName,rent,customer_segement
1,8105987404,"anusha pariti",7500,"Grade C"
2,9876890463,"Ashish Singh",11000,"Grade A"
3,9801834992,"Bhaskar maheshwari",12000,"Grade A"
4,81059237004,"Garima yadav",8000,"Grade B"
5,9178352769,"Tanvi mann",9000,"Grade B"
6,9876548763,"Harish sahai",10200,"Grade A"
7,8105987404,"Kamal gera",6500,"Grade C"
8,8926537154,"Tushar kapoor",7200,"Grade C"
9,9801834992,"Shivshankar das",7500,"Grade C"
10,9873123456,"Aditi jain",7500,"Grade C"
11,7896785432,"Deepa sudhakar",8000,"Grade B"
12,7896543674,"Umang parejiya",11000,"Grade A"
13,8796751238,"Mitali gupta",12000,"Grade A"
14,9867845182,"Manisha Yadav",13500,"Grade A"
15,9878673428,"Shivani godha",6500,"Grade C"
16,8987647811,"Rajan pandey",6500,"Grade C"
17,9875623345,"Roosena manuel",10500,"Grade A"
18,9800786688,"Prabhjot gill",8000,"Grade B"
19,9988789656,"Ankita sharma",7500,"Grade C"
20,8976665768,"Karan Singh",9500,"Grade B"
